PkOk,FTGROUP,1-Rural,2-Transition,3-Suburban,4-Urban,5-CBD-Like,All
dt,FT-Collectors & Locals,,0.6,0.62,0.65,0.53,0.63
dt,FT-Freeways,,0.64,0.64,0.83,,0.7
dt,FT-Minor Arterials,,0.72,0.62,0.58,0.51,0.59
dt,FT-Principal Arterials & Expressways,0.84,0.73,0.58,0.56,0.49,0.57
ok,FT-Collectors & Locals,,0.6,0.61,0.64,0.52,0.62
ok,FT-Freeways,,,0.5,,,0.5
ok,FT-Minor Arterials,,0.68,0.61,0.56,0.48,0.57
ok,FT-Principal Arterials & Expressways,0.78,0.7,0.53,0.53,0.47,0.54
pk,FT-Collectors & Locals,,0.59,0.63,0.66,0.54,0.64
pk,FT-Freeways,,0.64,0.67,0.83,,0.73
pk,FT-Minor Arterials,,0.74,0.63,0.6,0.53,0.61
pk,FT-Principal Arterials & Expressways,0.91,0.75,0.61,0.58,0.5,0.6
